date,mode,pre_nav,post_nav,period_return_pct,cum_return_pct,n_stocks,cash_pct,turnover_pct,cost_inr,n_buys,n_sells,stocks_added,stocks_removed,top5_holdings,rl_overweight,rl_underweight,aggressiveness,emergency,tilt_Banking,tilt_RealEstate,tilt_Healthcare,tilt_Chemicals,tilt_Cement,tilt_Metals,tilt_FinancialServices,tilt_ConsumerDiscretionary,tilt_FMCG,tilt_CapitalGoods,tilt_IT,tilt_Energy,tilt_Telecom,tilt_Pharma,tilt_Automobiles
2021-09-30,RL,1464500.34,1462833.13,-0.114,192.567,19,24.99,14.79,1190.86,11,12,"ABB.NS,KOTAKBANK.NS","AMBUJACEM.NS,CIPLA.NS,MARUTI.NS,SUNPHARMA.NS",ABB.NS:7.6%|NMDC.NS:7.5%|VEDL.NS:7.5%|COLPAL.NS:7.5%|AUROPHARMA.NS:6.4%,FMCG×2.0|Automobiles×2.0|Pharma×2.0,IT×0.3|FinancialServices×0.3|Energy×0.3,0.5,False,1.344,2.0,2.0,0.3,0.364,2.0,0.3,0.3,2.0,2.0,0.3,0.3,2.0,2.0,2.0
2021-10-28,RL,1462833.13,1416324.58,-3.179,183.265,19,25.02,16.43,1154.09,16,6,"EICHERMOT.NS,HDFCBANK.NS,TORNTPHARM.NS","HINDUNILVR.NS,KOTAKBANK.NS,VEDL.NS",ABB.NS:7.6%|NMDC.NS:7.5%|COLPAL.NS:7.4%|AUROPHARMA.NS:6.4%|MARICO.NS:6.4%,Banking×2.0|FMCG×2.0|Automobiles×2.0,IT×0.3|FinancialServices×0.3|Energy×0.3,0.5,False,2.0,2.0,2.0,0.3,2.0,2.0,0.3,0.3,2.0,2.0,0.3,0.3,2.0,2.0,2.0
2021-11-25,RL,1436913.92,1436007.54,-0.063,187.202,20,24.85,9.68,647.38,8,13,"BHEL.NS,JSWSTEEL.NS",NMDC.NS,ABB.NS:7.8%|COLPAL.NS:7.6%|AUROPHARMA.NS:6.6%|CUMMINSIND.NS:6.3%|MARICO.NS:5.9%,Banking×2.0|FMCG×2.0|Automobiles×2.0,IT×0.3|FinancialServices×0.3|Energy×0.3,0.5,False,2.0,2.0,2.0,0.3,2.0,2.0,0.3,0.3,2.0,2.0,0.3,0.3,2.0,2.0,2.0
2021-12-23,RL,1436007.54,1430154.43,-0.408,186.031,19,25.04,15.28,1196.53,15,6,ACC.NS,"ABB.NS,AUROPHARMA.NS",ACC.NS:8.0%|HDFCBANK.NS:8.0%|COLPAL.NS:7.6%|JSWSTEEL.NS:7.0%|CUMMINSIND.NS:6.2%,Banking×2.0|FMCG×2.0|Pharma×2.0,IT×0.3|FinancialServices×0.3|Energy×0.3,0.5,False,2.0,2.0,2.0,0.3,2.0,2.0,0.3,0.3,2.0,2.0,0.3,0.3,2.0,2.0,1.658
2022-01-20,RL,1466025.99,1463280.59,-0.187,192.656,19,24.98,27.11,1960.97,8,16,"ALKEM.NS,HINDUNILVR.NS,METROPOLIS.NS,TVSMOTOR.NS,VEDL.NS","BHEL.NS,COLPAL.NS,CUMMINSIND.NS,HEROMOTOCO.NS,PRESTIGE.NS",ACC.NS:8.0%|HDFCBANK.NS:8.0%|ALKEM.NS:8.0%|VEDL.NS:8.0%|METROPOLIS.NS:7.1%,Banking×2.0|FMCG×2.0|Pharma×2.0,IT×0.3|FinancialServices×0.3|Energy×0.3,0.5,False,2.0,2.0,2.0,0.3,2.0,2.0,0.3,0.3,2.0,2.0,0.3,0.3,2.0,2.0,1.803
2022-02-17,RL,1463280.59,1431500.4,-2.172,186.3,20,25.0,21.43,1574.97,14,8,"ABB.NS,GODREJPROP.NS,LT.NS","TVSMOTOR.NS,VEDL.NS",METROPOLIS.NS:8.0%|LT.NS:8.0%|HDFCBANK.NS:7.9%|ALKEM.NS:7.8%|ABB.NS:7.4%,Banking×2.0|FMCG×2.0|Automobiles×2.0,IT×0.3|FinancialServices×0.3|Energy×0.3,0.5,False,2.0,2.0,2.0,0.3,2.0,2.0,0.3,0.3,2.0,2.0,0.3,0.3,2.0,2.0,2.0
2022-03-17,RL,1445198.05,1443332.94,-0.129,188.667,19,24.92,18.67,1332.2,10,12,"AUROPHARMA.NS,DRREDDY.NS","ALKEM.NS,BAJAJ-AUTO.NS,TORNTPHARM.NS",METROPOLIS.NS:8.1%|LT.NS:8.1%|HDFCBANK.NS:8.0%|DRREDDY.NS:8.0%|AUROPHARMA.NS:8.0%,Banking×2.0|FMCG×2.0|Pharma×2.0,IT×0.3|FinancialServices×0.3|Energy×0.3,0.5,False,2.0,2.0,2.0,0.3,2.0,2.0,0.3,0.3,2.0,2.0,0.3,0.3,2.0,2.0,0.79
2022-04-18,RL,1490277.97,1488612.59,-0.112,197.723,20,24.91,15.65,1189.53,8,14,"CIPLA.NS,MAXHEALTH.NS,SAIL.NS","AUROPHARMA.NS,MARICO.NS",METROPOLIS.NS:8.1%|LT.NS:8.1%|HDFCBANK.NS:7.9%|DRREDDY.NS:7.9%|ABB.NS:7.5%,Banking×2.0|FMCG×2.0|Pharma×2.0,IT×0.3|FinancialServices×0.3|Energy×0.3,0.5,False,2.0,2.0,2.0,0.3,2.0,2.0,0.3,0.3,2.0,2.0,0.3,0.3,2.0,2.0,0.77
2022-05-12,RL,1488612.59,1370088.46,-7.962,174.018,21,25.0,31.37,1949.52,20,4,"CUMMINSIND.NS,SHREECEM.NS,SUNPHARMA.NS,VEDL.NS","ABB.NS,DRREDDY.NS,LT.NS",SHREECEM.NS:8.0%|CUMMINSIND.NS:8.0%|CIPLA.NS:8.0%|METROPOLIS.NS:7.8%|HDFCBANK.NS:7.7%,Banking×2.0|FMCG×2.0|Pharma×2.0,IT×0.3|FinancialServices×0.3|Energy×0.3,0.5,False,2.0,2.0,2.0,0.3,2.0,2.0,0.3,0.3,2.0,2.0,0.3,0.3,2.0,2.0,1.52
2022-06-09,RL,1370088.46,1335766.72,-2.505,167.153,20,24.8,8.63,550.52,7,15,COLPAL.NS,"ACC.NS,VEDL.NS",METROPOLIS.NS:8.4%|HDFCBANK.NS:8.3%|SHREECEM.NS:7.9%|CIPLA.NS:7.9%|CUMMINSIND.NS:7.9%,Banking×2.0|FMCG×2.0|Pharma×2.0,IT×0.3|FinancialServices×0.3|Energy×0.3,0.5,False,2.0,2.0,2.0,0.3,2.0,2.0,0.3,0.3,2.0,2.0,0.3,0.3,2.0,2.0,1.132
