run_id,run_mode,backtest_start_date,backtest_end_date,report_generated_at_utc,sector,feature,importance,importance_share,rank
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Pharma,amihud_1m,128.0,0.18631732168850074,3
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Pharma,mom_12m_skip1m,120.0,0.17467248908296942,4
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Pharma,mom_accel_3m_6m,77.0,0.11208151382823872,5
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,Pharma,ret_3m,66.0,0.09606986899563319,6
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,RealEstate,ma_50_200_ratio,154.0,0.25538971807628524,1
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,RealEstate,vol_3m,98.0,0.1625207296849088,2
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,RealEstate,mom_12m_skip1m,97.0,0.16086235489220563,3
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,RealEstate,amihud_1m,97.0,0.16086235489220563,4
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,RealEstate,mom_accel_3m_6m,88.0,0.14593698175787728,5
selection_only_2013_01_01_2026_04_17_20260421T170541Z,selection_only,2013-01-01,2026-04-17,2026-04-21T17:05:41Z,RealEstate,ret_3m,69.0,0.11442786069651742,6
